"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"367","Bookcases & shelving units","TRUE","No",35,81,80,225,0
"368","Chairs","TRUE","No",47,90,41,79.2,0
"369","Cabinets & cupboards","TRUE","Yes",46,83,80,22,0
"370","Tables & desks","TRUE","No",46,76,67,845,0
"371","Sofas & armchairs","TRUE","Yes",46,83,80,545,0
"372","TV & media furniture","TRUE","Yes",42,240,120,1670,1
"373","Bookcases & shelving units","TRUE","Yes",35,190,60,445,0
"374","Chairs","TRUE","No",47,76,45,49,0
"375","Sofas & armchairs","TRUE","Yes",46,83,80,170,0
"376","Cabinets & cupboards","TRUE","Yes",31,83,9,35,0
"377","Chests of drawers & drawer units","TRUE","No",30,70,62,139,0
"378","Trolleys","TRUE","No",46,65,28,125,0
"379","Chairs","TRUE","No",46,83,75,889,0
"380","Bookcases & shelving units","TRUE","Yes",159,147,77,450,0
"381","Tables & desks","TRUE","Yes",46,52,65,795,0
"382","Chests of drawers & drawer units","TRUE","Yes",48,66,67,545,0
"383","Tables & desks","TRUE","No",46,74,78,1475,1
"384","Chests of drawers & drawer units","TRUE","Yes",48,55,40,165,0
"385","Wardrobes","TRUE","No",57,251,140,1560,1
"386","Outdoor furniture","TRUE","No",46,83,80,261,0
"387","Sofas & armchairs","TRUE","Yes",88,85,121,1360,1
"388","Chairs","TRUE","No",68,83,68,225,0
"389","Café furniture","TRUE","No",46,105,80,550,0
"390","Beds","TRUE","Yes",46,135,180,8551,1
"391","Tables & desks","TRUE","Yes",54,90,90,545,0
"392","Bookcases & shelving units","TRUE","Yes",46,124,30,45,0
"393","Bookcases & shelving units","TRUE","No",30,226,219,1045,1
"394","TV & media furniture","TRUE","No",18,83,24,17,0
"395","Outdoor furniture","TRUE","Yes",82,88,225,3781,1
"396","Chairs","TRUE","Yes",68,83,68,695,0
"397","Beds","TRUE","Yes",113,84,186,2932,1
"398","Tables & desks","TRUE","Yes",45,101,61,1255,1
"399","Chairs","TRUE","No",46,72,75,359,0
"400","Tables & desks","TRUE","Yes",79,102,90,810,0
"401","Outdoor furniture","TRUE","No",94,90,83,1075,1
"402","Bookcases & shelving units","TRUE","Yes",30,202,120,915,0
"403","TV & media furniture","TRUE","Yes",41,53,120,425,0
"404","Chairs","TRUE","Yes",58,97,51,295,0
"405","Tables & desks","FALSE","No",46,83,80,1245,1
"406","Outdoor furniture","TRUE","Yes",46,83,80,3442,1
"407","Nursery furniture","TRUE","Yes",50,192,60,675,0
"408","Cabinets & cupboards","TRUE","No",28,83,9,17,0
"409","Outdoor furniture","TRUE","No",38,42,40,99,0
"410","Bookcases & shelving units","TRUE","No",38,83,80,35,0
"411","Nursery furniture","TRUE","No",40,75,80,395,0
"412","Tables & desks","TRUE","No",46,45,45,295,0
"413","Wardrobes","TRUE","No",38,236,50,590,0
"414","Children's furniture","TRUE","No",46,48,55,129,0
"415","Outdoor furniture","TRUE","Yes",46,83,80,1095,1
"416","Outdoor furniture","TRUE","Yes",80,84,223,2034,1
"417","Wardrobes","TRUE","Yes",50,128,60,425,0
"418","Tables & desks","TRUE","No",46,74,85,3795,1
"419","Beds","TRUE","No",46,83,80,1092,1
"420","Beds","TRUE","Yes",46,111,146,795,0
"421","Chairs","TRUE","No",46,83,80,2345,1
"422","TV & media furniture","TRUE","Yes",27,27,160,417,0
"423","Tables & desks","TRUE","No",46,74,75,195,0
"424","Cabinets & cupboards","TRUE","Yes",41,95,78,395,0
"425","Bookcases & shelving units","TRUE","No",50,124,174,718,0
"426","Wardrobes","TRUE","Yes",60,201,200,2805,1
"427","Outdoor furniture","TRUE","Yes",46,73,90,1679,1
"428","Cabinets & cupboards","TRUE","Yes",27,83,80,3,0
"429","Tables & desks","TRUE","Yes",46,31,95,795,0
"430","Chairs","TRUE","No",24,13,37,15,0
"431","Outdoor furniture","TRUE","No",40,79,39,55,0
"432","Sofas & armchairs","TRUE","Yes",46,83,80,175,0
"433","Tables & desks","TRUE","No",46,73,75,275,0
"434","Café furniture","TRUE","No",46,76,50,180,0
"435","Bookcases & shelving units","TRUE","No",30,179,134,910,0
"436","Bookcases & shelving units","TRUE","No",46,83,80,15,0
"437","TV & media furniture","TRUE","No",27,83,80,9,0
"438","Cabinets & cupboards","TRUE","No",47,167,45,700,0
"439","Outdoor furniture","TRUE","Yes",46,83,80,323,0
"440","Cabinets & cupboards","TRUE","No",38,83,80,45,0
"441","Sofas & armchairs","TRUE","No",46,38,47,695,0
"442","Room dividers","TRUE","Yes",39,182,182,1350,1
"443","Cabinets & cupboards","TRUE","No",46,64,60,175,0
"444","Tables & desks","TRUE","Yes",45,101,41,1044,1
"445","Bookcases & shelving units","TRUE","No",41,87,190,474.2,0
"446","Beds","TRUE","No",46,94,88,549,0
"447","TV & media furniture","TRUE","Yes",46,214,332,4030,1
"448","Tables & desks","TRUE","No",46,50,50,249,0
"449","Tables & desks","TRUE","Yes",46,83,110,500,0
"450","Sofas & armchairs","TRUE","Yes",164,104,277,5040,1
"451","Tables & desks","TRUE","Yes",46,74,75,480,0
"452","Tables & desks","TRUE","Yes",46,74,60,215,0
"453","Outdoor furniture","TRUE","No",46,83,80,25,0
"454","TV & media furniture","TRUE","Yes",46,26,60,60,0
"455","Beds","TRUE","No",46,80,80,85,0
"456","Chairs","TRUE","No",46,83,78,2075,1
"457","Beds","TRUE","No",46,195,135,995,0
"458","Chairs","TRUE","No",38,83,80,25,0
"459","Bookcases & shelving units","TRUE","No",55,110,85,375,0
"460","Children's furniture","TRUE","No",44,94,99,275,0
"461","Beds","TRUE","Yes",151,66,80,1846,1
"462","Wardrobes","TRUE","No",55,216,124,774,0
"463","Bookcases & shelving units","TRUE","No",34,10,69,75,0
"464","Beds","TRUE","No",46,83,90,795,0
